description,severity
"parking inquiry at school. Information request, not urgent.",Low
May naganap na kotong sa kapitbahayan. Nakatakas ang suspetsado.,High
Suspect with saksak threatening people at street corner. Active threat.,Immediate
"May isyu ng magnanakaw sa gusali. Karaniwang bagay, walang kagyatan.",Moderate
May naiulat na nawawalang gamit sa apartment. Ibinigay ang gamit para sa pag-iingat.,Low
Organized kidnap at park. Major investigation underway.,High
"noise complaint at street corner. Routine matter, no urgency.",Low
May aktibong baril na nangyayari sa community center. Nasa agarang panganib ang biktima.,Immediate
Ongoing attack at kapitbahayan. Multiple victims involved.,Immediate
May aktibong gun na nangyayari sa apartment. Nasa agarang panganib ang biktima.,Immediate
"May isyu ng pananakot sa paaralan. Karaniwang bagay, walang kagyatan.",Moderate
Active baril crime at apartment. Suspects still at scene.,Immediate
"May natuklasang pagpatay sa paaralan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
Active murder happening at school. Victim in immediate danger.,Immediate
vandalism situation at kapitbahayan. Property maintenance needed.,Moderate
theft at building. Non-violent incident occurred.,Moderate
"murder discovered at commercial district. Evidence collected, suspect identified.",High
"drug cartel case at market. Victim rescued, suspects arrested.",High
May naganap na smugglin sa paaralan. Nakatakas ang suspetsado.,High
"property issue at community center. General inquiry, non-emergency.",Low
May naiulat na nawawalang gamit sa residential area. Ibinigay ang gamit para sa pag-iingat.,Low
"May nakaw sa paaralan. Verbal na insidente, walang pisikal na pinsala.",Moderate
petty theft situation at kanto. Property maintenance needed.,Moderate
loitering incident at neighborhood. Situation resolved peacefully.,Moderate
"May ingay sa residential area. Nakatakas ang suspetsado, walang biktima.",Moderate
May aktibong kill na krimen sa mall. Nandiyan pa ang mga suspetsado.,Immediate
theft reported at mall. Minor damage occurred.,Moderate
May malaking kaso ng lagay sa mall. Maraming biktima ang apektado.,High
May aktibong kidnap na krimen sa park. Nandiyan pa ang mga suspetsado.,Immediate
May paglabag sa parking sa kanto. Mali ang pag-park ng sasakyan.,Low
General routine at market. No immediate action needed.,Low
"May nakaraang pamamaril sa residential area. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May nangyayaring rapein sa kapitbahayan. Kailangan ng emergency response.,Immediate
"lost property at commercial district. Minor violation, no threat.",Low
May reklamo ng ingay sa park. Maingay na musika mula sa kapitbahay.,Low
May nangyayaring kidnapin sa komersyal na distrito. Kailangan ng emergency response.,Immediate
May nangyayaring weapon sa komersyal na distrito. Kailangan ng emergency response.,Immediate
May pamamaril na naganap sa apartment. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May nakaraang korupsyon sa apartment. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
shoplifting incident at kanto. Situation resolved peacefully.,Moderate
May patuloy na violence sa barangay. Maraming biktima ang kasama.,Immediate
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
Serious drug lord operation at kanto. Significant damage occurred.,High
May naiulat na magnanakaw sa paaralan. Maliit na pinsala ang naganap.,Moderate
In-progress saksak at residential area. Emergency response needed.,Immediate
Lost property report at park. Item turned in for safekeeping.,Low
May suspetsado na may pamamaril na nagbabanta sa mga tao sa residential area. Aktibong banta.,Immediate
May naiulat na nakaw sa gusali. Maliit na pinsala ang naganap.,Moderate
disturbance at park. Non-violent incident occurred.,Moderate
May patuloy na shooting sa park. Maraming biktima ang kasama.,Immediate
theft incident at neighborhood. Situation resolved peacefully.,Moderate
May nangyayaring pagpatay sa residential area. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May seryosong kotong na operasyon sa palengke. Malaking pinsala ang naganap.,High
Major drug cartel case at park. Multiple victims affected.,High
"May natagpuang gamit sa mall. Nakuha ang gamit, walang suspetsado.",Low
Major kidnap case at neighborhood. Multiple victims affected.,High
May organisadong kotong sa gusali. Malaking imbestigasyon ang isinasagawa.,High
"Found property at mall. Item recovered, no suspect.",Low
"May reklamo ng tanong sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Low
"May nakaraang kidnapin sa palengke. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May pangkalahatang nawawalang gamit sa kanto. Walang kagyat na aksyon na kailangan.,Low
May kotong na naganap sa palengke. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May reklamo ng ingay sa park. Maingay na musika mula sa kapitbahay.,Low
May pag-atake ng saksak na nangyayari sa kapitbahayan. Naipit ang mga tao sa loob.,Immediate
"bribery discovered at residential area. Evidence collected, suspect identified.",High
"assault case at mall. Victim rescued, suspects arrested.",High
May pananakot na kaguluhan sa palengke. Umalis ang suspetsado sa lugar.,Moderate
May organisadong korupsyon sa palengke. Malaking imbestigasyon ang isinasagawa.,High
May pangkalahatang nawawalang gamit sa palengke. Walang kagyat na aksyon na kailangan.,Low
May aktibong stabbing na nangyayari sa community center. Nasa agarang panganib ang biktima.,Immediate
May naiulat na nawawalang gamit sa park. Ibinigay ang gamit para sa pag-iingat.,Low
loitering situation at building. Property maintenance needed.,Moderate
May kill na nangyayari ngayon sa apartment. Kailangan ng agad na tulong ang mga biktima.,Immediate
"Serious drug lord reported at street corner. Victim hospitalized, investigation ongoing.",High
May pananakot na kaguluhan sa community center. Umalis ang suspetsado sa lugar.,Moderate
"shooting case at building. Victim rescued, suspects arrested.",High
rape occurred at market. Suspect fled the scene.,High
saksak incident at kapitbahayan. Suspect still present and armed.,Immediate
disorderly at building. Non-violent incident occurred.,Moderate
"May natuklasang lagayan sa gusali. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May aktibong pagpatay na krimen sa residential area. Nandiyan pa ang mga suspetsado.,Immediate
May maliit na natagpuang gamit sa gusali. Kailangan ng karaniwang pag-aayos.,Low
Active bomba happening at neighborhood. Victim in immediate danger.,Immediate
terrorist in progress at park. Suspect actively harming victim.,Immediate
"May isyu ng nakaw sa paaralan. Karaniwang bagay, walang kagyatan.",Moderate
"May natagpuang gamit sa paaralan. Maliit na paglabag, walang banta.",Low
"May kaso ng holdap sa palengke. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May pangkalahatang ingay sa kapitbahayan. Walang kagyat na aksyon na kailangan.,Low
May ulat ng tanong sa residential area. Para lamang sa insurance.,Low
baril happening now at community center. Victims need immediate help.,Immediate
"May naiulat na seryosong pagpatay sa community center. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
May bomba na nangyayari ngayon sa apartment. Kailangan ng agad na tulong ang mga biktima.,Immediate
Lost property report at kapitbahayan. Item turned in for safekeeping.,Low
May magnanakaw sa residential area. Non-violent na insidente ang naganap.,Moderate
May paglabag sa parking sa kapitbahayan. Mali ang pag-park ng sasakyan.,Low
"May kaso ng pagpatay sa kapitbahayan. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
"May reklamo ng pag-aayos sa palengke. Karaniwang bagay, walang kagyatan.",Low
noise at kanto. Small value items involved.,Moderate
kill happening now at building. Victims need immediate help.,Immediate
petty theft incident at community center. Situation resolved peacefully.,Moderate
May karahasan na naganap sa gusali. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May natuklasang smugglin sa kapitbahayan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
minor violation report at apartment. For insurance purposes only.,Low
disorderly at apartment. Non-violent incident occurred.,Moderate
Suspect with saksakin threatening people at street corner. Active threat.,Immediate
May aktibong violence na nangyayari sa barangay. Nasa agarang panganib ang biktima.,Immediate
"petty theft at residential area. Suspect fled, no victims present.",Moderate
"noise inquiry at school. Information request, not urgent.",Low
"May tanong tungkol sa ingay sa kapitbahayan. Hiling ng impormasyon, hindi kagyatan.",Low
"May natuklasang lagay sa paaralan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
Organized kidnap at barangay. Major investigation underway.,High
trespassing disturbance at mall. Suspect left the area.,Moderate
"May reklamo ng ingay sa kanto. Karaniwang bagay, walang kagyatan.",Low
May routine check sa apartment. Kailangan ng administrative service.,Low
disturbance incident at kanto. Situation resolved peacefully.,Moderate
Serious extortion operation at church. Significant damage occurred.,High
"May tanong tungkol sa nawawalang gamit sa mall. Hiling ng impormasyon, hindi kagyatan.",Low
loitering situation at commercial district. Property maintenance needed.,Moderate
May maliit na nawawalang gamit sa kapitbahayan. Kailangan ng karaniwang pag-aayos.,Low
Serious drug trafficking operation at commercial district. Significant damage occurred.,High
"May isyu ng away sa barangay. Karaniwang bagay, walang kagyatan.",Moderate
"May naiulat na seryosong kidnapin sa park. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"May tanong tungkol sa reklamo sa komersyal na distrito. Hiling ng impormasyon, hindi kagyatan.",Low
"Found property at barangay. Item recovered, no suspect.",Low
bomba in progress at kapitbahayan. Suspect actively harming victim.,Immediate
"disturbance issue at building. Routine matter, no urgency.",Moderate
"May tanong sa kapitbahayan. Maliit na paglabag, walang banta.",Low
General question at church. No immediate action needed.,Low
Ongoing terorista at church. Multiple victims involved.,Immediate
May pangkalahatang maliit na paglabag sa komersyal na distrito. Walang kagyat na aksyon na kailangan.,Low
harassment complaint at mall. No immediate danger.,Moderate
May sitwasyon ng ingay sa kapitbahayan. Kailangan ng pag-aayos ng ari-arian.,Moderate
May sitwasyon ng awayin sa barangay. Kailangan ng pag-aayos ng ari-arian.,Moderate
assault in progress at residential area. Suspect actively harming victim.,Immediate
Suspect with rape threatening people at market. Active threat.,Immediate
May pangkalahatang karaniwan sa palengke. Walang kagyat na aksyon na kailangan.,Low
Minor noise at kanto. Routine maintenance needed.,Low
May nangyayaring hostage sa kanto. Kailangan ng emergency response.,Immediate
"smuggling discovered at school. Evidence collected, suspect identified.",High
May sitwasyon ng ingay sa kanto. Kailangan ng pag-aayos ng ari-arian.,Moderate
Routine check at apartment. Administrative service needed.,Low
drug trafficking occurred at barangay. Suspect fled the scene.,High
"general issue at street corner. General inquiry, non-emergency.",Low
May patuloy na terorista sa paaralan. Maraming biktima ang kasama.,Immediate
May insidente ng weapon sa simbahan. May armas pa ang suspetsado at nandiyan pa.,Immediate
May nangyayaring kill sa kanto. Kailangan ng emergency response.,Immediate
"Serious sexual assault reported at church. Victim hospitalized, investigation ongoing.",High
May pangkalahatang nawawalang gamit sa kanto. Walang kagyat na aksyon na kailangan.,Low
May suspetsado na may hostage na nagbabanta sa mga tao sa barangay. Aktibong banta.,Immediate
Minor complaint at mall. Routine maintenance needed.,Low
May aktibong gun na sitwasyon sa paaralan. Kailangan ng agad na tugon.,Immediate
May aktibong gun na sitwasyon sa gusali. Kailangan ng agad na tugon.,Immediate
May pangkalahatang tanong sa palengke. Walang kagyat na aksyon na kailangan.,Low
disorderly at barangay. Small value items involved.,Moderate
May shooting na nangyayari ngayon sa mall. Kailangan ng agad na tulong ang mga biktima.,Immediate
May takutan sa community center. Non-violent na insidente ang naganap.,Moderate
Routine check at kanto. Administrative service needed.,Low
May nangyayaring pagpatay sa park. Kailangan ng emergency response.,Immediate
Major drug cartel case at residential area. Multiple victims affected.,High
harassment reported at market. Minor damage occurred.,Moderate
May routine check sa kapitbahayan. Kailangan ng administrative service.,Low
May pamamaril na nangyayari ngayon sa kapitbahayan. Kailangan ng agad na tulong ang mga biktima.,Immediate
attack occurred at apartment. Suspect fled the scene.,High
Major robbery case at market. Multiple victims affected.,High
May naganap na korupsyon sa park. Nakatakas ang suspetsado.,High
May nangyayaring rapein sa kapitbahayan. Kailangan ng emergency response.,Immediate
"petty theft at residential area. Verbal incident, no physical harm.",Moderate
Active saksakin happening at community center. Victim in immediate danger.,Immediate
"drug dealing case at kanto. Victim rescued, suspects arrested.",High
General found property at church. No immediate action needed.,Low
"lost property complaint at mall. Routine matter, no urgency.",Low
"May ingay sa community center. Verbal na insidente, walang pisikal na pinsala.",Moderate
"May insidente ng karahasan sa palengke. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
Active saksak happening at community center. Victim in immediate danger.,Immediate
Serious murder operation at church. Significant damage occurred.,High
"Past murder at mall. Suspects at large, investigation needed.",High
Serious robbery operation at street corner. Significant damage occurred.,High
"Found property at kapitbahayan. Item recovered, no suspect.",Low
May naiulat na pananakot sa kanto. Maliit na pinsala ang naganap.,Moderate
Suspect with pagpatay threatening people at market. Active threat.,Immediate
"harassment at kanto. Verbal incident, no physical harm.",Moderate
loitering disturbance at neighborhood. Suspect left the area.,Moderate
May maliit na reklamo sa apartment. Kailangan ng karaniwang pag-aayos.,Low
May naganap na rapein sa park. Nakatakas ang suspetsado.,High
"Past drug dealing at street corner. Suspects at large, investigation needed.",High
"minor violation at barangay. Minor violation, no threat.",Low
May karahasan na nangyayari ngayon sa mall. Kailangan ng agad na tulong ang mga biktima.,Immediate
May naiulat na pananakot sa barangay. Maliit na pinsala ang naganap.,Moderate
May naiulat na nakaw sa paaralan. Maliit na pinsala ang naganap.,Moderate
May aktibong bomb na sitwasyon sa paaralan. Kailangan ng agad na tugon.,Immediate
Minor question at residential area. Routine maintenance needed.,Low
"May isyu ng nakaw sa simbahan. Karaniwang bagay, walang kagyatan.",Moderate
May naganap na kidnapin sa apartment. Nakatakas ang suspetsado.,High
saksakin happening now at mall. Victims need immediate help.,Immediate
"rape discovered at building. Evidence collected, suspect identified.",High
Ongoing pagpatay at school. Multiple victims involved.,Immediate
May seryosong smugglin na operasyon sa park. Malaking pinsala ang naganap.,High
terorista happening now at mall. Victims need immediate help.,Immediate
"May pag-aayos sa kanto. Maliit na paglabag, walang banta.",Low
trespassing reported at commercial district. Minor damage occurred.,Moderate
"May karaniwan sa barangay. Non-violent na insidente, mababang priyoridad.",Low
"May kaso ng lagay sa barangay. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May insidente ng guluhin sa apartment. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May nakaraang holdapin sa simbahan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"inquiry at apartment. Non-violent incident, low priority.",Low
"Serious smuggling reported at residential area. Victim hospitalized, investigation ongoing.",High
Routine check at kapitbahayan. Administrative service needed.,Low
May pag-atake ng pumatay na nangyayari sa apartment. Naipit ang mga tao sa loob.,Immediate
"routine issue at kanto. General inquiry, non-emergency.",Low
"May natuklasang kotongan sa paaralan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
vandalism situation at barangay. Property maintenance needed.,Moderate
May malaking kaso ng rapein sa palengke. Maraming biktima ang apektado.,High
"May nakaraang pagpatay sa kanto. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May reklamo ng ingay sa palengke. Walang agarang panganib.,Moderate
"gang violence discovered at building. Evidence collected, suspect identified.",High
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
General inquiry at school. No immediate action needed.,Low
Lost property report at neighborhood. Item turned in for safekeeping.,Low
"disorderly issue at kapitbahayan. Routine matter, no urgency.",Moderate
"May reklamo ng pag-aayos sa mall. Karaniwang bagay, walang kagyatan.",Low
Major drug cartel case at market. Multiple victims affected.,High
disturbance complaint at building. No immediate danger.,Moderate
Minor general at community center. Routine maintenance needed.,Low
Suspect with kidnapin threatening people at market. Active threat.,Immediate
"Serious drug cartel reported at street corner. Victim hospitalized, investigation ongoing.",High
"Serious drug dealing reported at kanto. Victim hospitalized, investigation ongoing.",High
"petty theft at apartment. Verbal incident, no physical harm.",Moderate
Active murder situation at kapitbahayan. Immediate response required.,Immediate
trespassing situation at market. Property maintenance needed.,Moderate
Active terorista happening at school. Victim in immediate danger.,Immediate
loitering incident at barangay. Situation resolved peacefully.,Moderate
May kotongan na naganap sa community center. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May pangkalahatang natagpuang gamit sa mall. Walang kagyat na aksyon na kailangan.,Low
"rape case at school. Victim rescued, suspects arrested.",High
In-progress gun at mall. Emergency response needed.,Immediate
loitering reported at apartment. Minor damage occurred.,Moderate
May naganap na pagpatay sa barangay. Nakatakas ang suspetsado.,High
May naiulat na nawawalang gamit sa community center. Ibinigay ang gamit para sa pag-iingat.,Low
"May insidente ng lagay sa residential area. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May pangkalahatang tanong sa kapitbahayan. Walang kagyat na aksyon na kailangan.,Low
disturbance at kanto. Small value items involved.,Moderate
May insidente ng stabbing sa kapitbahayan. May armas pa ang suspetsado at nandiyan pa.,Immediate
"Past assault at apartment. Suspects at large, investigation needed.",High
"found property issue at street corner. General inquiry, non-emergency.",Low
Serious extortion operation at community center. Significant damage occurred.,High
Serious human trafficking operation at commercial district. Significant damage occurred.,High
loitering incident at commercial district. Situation resolved peacefully.,Moderate
May pangkalahatang tanong sa mall. Walang kagyat na aksyon na kailangan.,Low
trespassing situation at barangay. Property maintenance needed.,Moderate
Routine check at barangay. Administrative service needed.,Low
May away sa residential area. Non-violent na insidente ang naganap.,Moderate
"attack discovered at school. Evidence collected, suspect identified.",High
petty theft at residential area. Non-violent incident occurred.,Moderate
pumatay happening now at school. Victims need immediate help.,Immediate
May naiulat na nawawalang gamit sa kanto. Ibinigay ang gamit para sa pag-iingat.,Low
saksak in progress at neighborhood. Suspect actively harming victim.,Immediate
May insidente ng pananakot sa mall. Na-resolve nang mapayapa ang sitwasyon.,Moderate
maintenance report at kanto. For insurance purposes only.,Low
weapon incident at street corner. Suspect still present and armed.,Immediate
disorderly situation at market. Property maintenance needed.,Moderate
May violence na nangyayari ngayon sa simbahan. Kailangan ng agad na tulong ang mga biktima.,Immediate
"loitering at market. Verbal incident, no physical harm.",Moderate
"May nakaraang rapein sa palengke. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"May natuklasang pagpatay sa barangay. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May sitwasyon ng pananakot sa simbahan. Kailangan ng pag-aayos ng ari-arian.,Moderate
Serious fraud operation at apartment. Significant damage occurred.,High
May malaking kaso ng holdap sa paaralan. Maraming biktima ang apektado.,High
Routine check at school. Administrative service needed.,Low
"Serious assault reported at commercial district. Victim hospitalized, investigation ongoing.",High
Suspect with saksak threatening people at neighborhood. Active threat.,Immediate
May patuloy na kidnap sa residential area. Maraming biktima ang kasama.,Immediate
Active kill happening at street corner. Victim in immediate danger.,Immediate
May ingay sa community center. Maliit na halaga ng gamit ang kasama.,Moderate
May nangyayaring pumatay sa kapitbahayan. Kailangan ng emergency response.,Immediate
"Serious murder reported at street corner. Victim hospitalized, investigation ongoing.",High
shooting incident at apartment. Suspect still present and armed.,Immediate
May insidente ng nakawin sa komersyal na distrito. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May insidente ng bomba sa komersyal na distrito. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May nakaw sa kapitbahayan. Verbal na insidente, walang pisikal na pinsala.",Moderate
May aktibong shooting na nangyayari sa kapitbahayan. Nasa agarang panganib ang biktima.,Immediate
May naiulat na away sa barangay. Maliit na pinsala ang naganap.,Moderate
petty theft complaint at residential area. No immediate danger.,Moderate
"theft at market. Suspect fled, no victims present.",Moderate
disturbance complaint at kanto. No immediate danger.,Moderate
General property at kanto. No immediate action needed.,Low
Active assault happening at community center. Victim in immediate danger.,Immediate
May aktibong karahasan na sitwasyon sa kanto. Kailangan ng agad na tugon.,Immediate
"drug cartel discovered at school. Evidence collected, suspect identified.",High
"theft at apartment. Verbal incident, no physical harm.",Moderate
Lost property report at market. Item turned in for safekeeping.,Low
"May nawawalang gamit sa kapitbahayan. Non-violent na insidente, mababang priyoridad.",Low
"May isyu ng nakaw sa paaralan. Karaniwang bagay, walang kagyatan.",Moderate
Lost property report at park. Item turned in for safekeeping.,Low
May pag-atake ng bomb na nangyayari sa kanto. Naipit ang mga tao sa loob.,Immediate
gun attack in progress at residential area. People trapped inside.,Immediate
May holdap na naganap sa simbahan. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
petty theft at residential area. Non-violent incident occurred.,Moderate
May reklamo ng gulo sa palengke. Walang agarang panganib.,Moderate
May insidente ng hostage sa community center. May armas pa ang suspetsado at nandiyan pa.,Immediate
Minor routine at residential area. Routine maintenance needed.,Low
minor violation report at building. For insurance purposes only.,Low
"May isyu ng maliit na paglabag sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
In-progress karahasan at community center. Emergency response needed.,Immediate
noise complaint at neighborhood. No immediate danger.,Moderate
May ulat ng tanong sa paaralan. Para lamang sa insurance.,Low
May gulo sa apartment. Maliit na halaga ng gamit ang kasama.,Moderate
rape that occurred at street corner. Suspects fled before police arrival.,High
"disturbance at residential area. Suspect fled, no victims present.",Moderate
May insidente ng awayin sa apartment. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May pananakot sa apartment. Verbal na insidente, walang pisikal na pinsala.",Moderate
May organisadong pamamaril sa community center. Malaking imbestigasyon ang isinasagawa.,High
May ulat ng natagpuang gamit sa kapitbahayan. Para lamang sa insurance.,Low
"May naiulat na seryosong kotongan sa barangay. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
May awayin sa community center. Non-violent na insidente ang naganap.,Moderate
terorista happening now at street corner. Victims need immediate help.,Immediate
petty theft disturbance at community center. Suspect left the area.,Moderate
Suspect with baril threatening people at street corner. Active threat.,Immediate
"May naiulat na seryosong holdapin sa simbahan. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
May aktibong kidnap na krimen sa kanto. Nandiyan pa ang mga suspetsado.,Immediate
"Serious attack reported at kapitbahayan. Victim hospitalized, investigation ongoing.",High
Active kill happening at park. Victim in immediate danger.,Immediate
Merong nabaril dito sa kanto namin at duguan sya ngayon.,Immediate
May nabaril sa kapitbahayan namin at malubha ang sugat ng biktima.,Immediate
Nabaril ang isang tao sa barangay at kailangan ng emergency response.,Immediate
May nabaril na naganap sa palengke at may dugo sa lugar.,Immediate
Nabaril siya sa kanto at malapit na mamatay.,Immediate
May nabaril sa kapitbahayan at nasa ospital na ang biktima.,High
Nabaril ang isang lalake sa mall at nakatakas ang suspetsado.,High
May nabaril na insidente sa park at patuloy ang imbestigasyon.,High
Nabaril siya sa gusali at kailangan ng medical attention.,High
May nabaril sa komersyal na distrito at nakatakas ang suspetsado.,High
Binaril ni Marwene si Mike dahil sa away nila.,High
Binaril ang isang tao sa kanto at may mga saksi.,High
May binaril na naganap sa simbahan at nakatakas ang suspetsado.,High
Binaril siya sa park at kailangan ng imbestigasyon.,High
May binaril sa kapitbahayan at patuloy ang paghahanap sa suspetsado.,High
Binaril ang biktima sa mall at malubha ang kalagayan.,Immediate
May binaril na nangyayari sa kanto at kailangan ng emergency response.,Immediate
Binaril siya sa barangay at nasa kritikal na kalagayan.,Immediate
May binaril sa residential area at kailangan ng agad na tulong.,Immediate
Binaril ang isang tao sa park at malapit na mamatay.,Immediate
Binaril ni Marwene si Mike dahil sa away nila.,High
Binaril siya dahil laging tumutulong sa project kahit dapat mag-focus sa iba.,High
May binaril sa lugar namin dahil sa personal na away.,High
Binaril ang biktima dahil sa hindi pagkakasundo sa trabaho.,High
Nabaril siya dahil sa away tungkol sa pera.,High
May nabaril sa amin dahil sa away sa grupo.,High
Nabaril ang isang tao dahil sa away sa school.,High
Binaril siya dahil sa away sa kapamilya.,High
May binaril na naganap dahil sa away sa neighborhood.,High
Binaril ang biktima dahil sa away sa trabaho at kailangan ng emergency response.,Immediate
May binaril sa amin dahil sa away at malubha ang biktima.,Immediate
Nabaril siya dahil sa away at nasa kritikal na kalagayan.,Immediate
Binaril ang isang tao dahil sa away at kailangan ng agad na tulong.,Immediate
May nabaril na naganap dahil sa away at may dugo sa lugar.,Immediate
May reklamo ng ingay sa residential area. Maingay na musika mula sa kapitbahay.,Low
"Found property at church. Item recovered, no suspect.",Low
"May tanong tungkol sa nawawalang gamit sa mall. Hiling ng impormasyon, hindi kagyatan.",Low
Parking violation at residential area. Vehicle parked incorrectly.,Low
Lost property report at market. Item turned in for safekeeping.,Low
May routine check sa mall. Kailangan ng administrative service.,Low
Noise complaint at apartment. Loud music from neighbor.,Low
"May natagpuang gamit sa school. Nakuha ang gamit, walang suspetsado.",Low
"May reklamo ng pag-aayos sa park. Karaniwang bagay, walang kagyatan.",Low
"found property inquiry at building. Information request, not urgent.",Low
"May ulat ng nawawalang gamit sa church. Para lamang sa insurance.",Low
Parking violation at commercial district. Vehicle parked incorrectly.,Low
"May maliit na karaniwan sa neighborhood. Kailangan ng karaniwang pag-aayos.",Low
Lost property report at barangay. Item turned in for safekeeping.,Low
May reklamo ng ingay sa market. Maingay na musika mula sa kapitbahay.,Low
"May tanong sa community center. Maliit na paglabag, walang banta.",Low
"Found property at school. Item recovered, no suspect.",Low
"minor violation inquiry at apartment. Information request, not urgent.",Low
May routine check sa church. Kailangan ng administrative service.,Low
"May naiulat na nawawalang gamit sa market. Ibinigay ang gamit para sa pag-iingat.",Low
Parking violation at park. Vehicle parked incorrectly.,Low
Noise complaint at barangay. Loud music from neighbor.,Low
"May pangkalahatang natagpuang gamit sa mall. Walang kagyat na aksyon na kailangan.",Low
"found property report at church. For insurance purposes only.",Low
May reklamo ng ingay sa school. Maingay na musika mula sa kapitbahay.,Low
"Lost property inquiry at neighborhood. Information request, not urgent.",Low
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
Parking violation at market. Vehicle parked incorrectly.,Low
"May maliit na nawawalang gamit sa barangay. Kailangan ng karaniwang pag-aayos.",Low
General routine at mall. No immediate action needed.,Low
"May reklamo ng pag-aayos sa church. Karaniwang bagay, walang kagyatan.",Low
"Found property at neighborhood. Item recovered, no suspect.",Low
"May tanong tungkol sa natagpuang gamit sa park. Hiling ng impormasyon, hindi kagyatan.",Low
Lost property report at church. Item turned in for safekeeping.,Low
May routine check sa commercial district. Kailangan ng administrative service.,Low
Noise complaint at market. Loud music from neighbor.,Low
"May ulat ng natagpuang gamit sa school. Para lamang sa insurance.",Low
Parking violation at neighborhood. Vehicle parked incorrectly.,Low
May reklamo ng ingay sa barangay. Maingay na musika mula sa kapitbahay.,Low
"found property complaint at park. Routine matter, no urgency.",Low
"May naiulat na nawawalang gamit sa church. Ibinigay ang gamit para sa pag-iingat.",Low
"May pangkalahatang ingay sa mall. Walang kagyat na aksyon na kailangan.",Low
"Lost property inquiry at church. Information request, not urgent.",Low
"May natagpuang gamit sa market. Nakuha ang gamit, walang suspetsado.",Low
Parking violation at school. Vehicle parked incorrectly.,Low
"May maliit na karaniwan sa park. Kailangan ng karaniwang pag-aayos.",Low
"May reklamo ng pag-aayos sa market. Karaniwang bagay, walang kagyatan.",Low
"Found property at church. Item recovered, no suspect.",Low
"minor violation inquiry at mall. Information request, not urgent.",Low
May routine check sa park. Kailangan ng administrative service.,Low
Noise complaint at school. Loud music from neighbor.,Low
